target,year,display
aegypti,2014,FALSE
aegypti,2015,FALSE
aegypti,2016,FALSE
aegypti,2017,FALSE
aegypti,2018,FALSE
aegypti,2019,FALSE
aegypti,2020,TRUE
aegypti,2021,TRUE
aegypti,2022,TRUE
japonicus,2014,FALSE
japonicus,2015,FALSE
japonicus,2016,FALSE
japonicus,2017,FALSE
japonicus,2018,FALSE
japonicus,2019,FALSE
japonicus,2020,TRUE
japonicus,2021,TRUE
japonicus,2022,TRUE
koreicus,2014,FALSE
koreicus,2015,FALSE
koreicus,2016,FALSE
koreicus,2017,FALSE
koreicus,2018,FALSE
koreicus,2019,FALSE
koreicus,2020,TRUE
koreicus,2021,TRUE
koreicus,2022,TRUE
culex,2014,FALSE
culex,2015,FALSE
culex,2016,FALSE
culex,2017,FALSE
culex,2018,FALSE
culex,2019,FALSE
culex,2020,TRUE
culex,2021,TRUE
culex,2022,TRUE
albopictus,2014,TRUE
albopictus,2015,TRUE
albopictus,2016,TRUE
albopictus,2017,TRUE
albopictus,2018,TRUE
albopictus,2019,TRUE
albopictus,2020,TRUE
albopictus,2021,TRUE
albopictus,2022,TRUE
biting,2014,FALSE
biting,2015,FALSE
biting,2016,FALSE
biting,2017,FALSE
biting,2018,FALSE
biting,2019,FALSE
biting,2020,TRUE
biting,2021,TRUE
biting,2022,TRUE
